date,category,subcategory,type,description,amount,department,vendor,invoice_number,payment_status,notes
2024-09-15,Expense,Payroll & Benefits,expense,Employee salaries - Engineering,238000,Engineering,ADP Payroll,PAY-2024-025,paid,37 engineers (+1 new hire)
2024-09-15,Expense,Payroll & Benefits,expense,Employee salaries - Sales & Marketing,122000,Sales,ADP Payroll,PAY-2024-026,paid,26 sales reps (+1 new hire)
2024-09-15,Expense,Payroll & Benefits,expense,Employee salaries - G&A,72000,Operations,ADP Payroll,PAY-2024-027,paid,15 admin staff
2024-09-15,Expense,Payroll & Benefits,expense,Employee benefits & insurance,66000,HR,BlueCross,BEN-2024-009,paid,Health dental vision 401k
2024-09-15,Expense,Payroll & Benefits,expense,Engineering overtime,28000,Engineering,ADP Payroll,OT-2024-004,paid,ANOMALY: 22% over budget for 4th consecutive month
2024-09-18,Expense,Infrastructure,expense,AWS cloud hosting,51000,Engineering,Amazon Web Services,AWS-2024-009,paid,Stable with minor scaling
2024-09-18,Expense,Infrastructure,expense,Datadog monitoring & APM,4200,Engineering,Datadog Inc,DD-2024-009,paid,Annual plan monthly billing
2024-09-18,Expense,Infrastructure,expense,Snowflake data warehouse,9500,Engineering,Snowflake Inc,SF-2024-009,paid,Q3 analytics workloads
2024-09-20,Expense,Marketing & Sales,expense,Google Ads - SEM campaigns,55000,Marketing,Google LLC,GADS-2024-009,paid,ANOMALY: September spend 47% over 3-month average
2024-09-20,Expense,Marketing & Sales,expense,LinkedIn Ads - B2B campaigns,22000,Marketing,LinkedIn Corp,LI-2024-009,paid,Q3 pipeline push
2024-09-20,Expense,Marketing & Sales,expense,Agency fees - brand campaign,68000,Marketing,WPP Group,AGN-2024-002,paid,ANOMALY: Large unbudgeted agency fees
2024-09-20,Expense,Marketing & Sales,expense,Influencer partnerships,25000,Marketing,Various,INF-2024-002,paid,Social media influencer campaign
2024-09-22,Expense,R&D,expense,Third-party API licenses,18000,Engineering,Various,API-2024-009,paid,Increased API usage from growth
2024-09-22,Expense,R&D,expense,New feature development tools,8000,Engineering,Figma,FIG-2024-001,paid,Design tool upgrade
2024-09-25,Expense,G&A,expense,Office lease - HQ,32000,Operations,Brookfield Properties,LEASE-2024-009,paid,Monthly lease payment
2024-09-25,Expense,G&A,expense,Quarterly tax installment,102000,Finance,IRS,TAX-2024-Q3,paid,Estimated quarterly tax payment
2024-09-25,Expense,G&A,expense,D&O insurance renewal,15000,Finance,Hartford Insurance,INS-2024-004,paid,Directors and officers policy
2024-09-30,Accounts Receivable,Outstanding,receivable,Enterprise client - TechCorp,85000,Finance,,AR-2024-001,outstanding,45 days outstanding - needs follow up
2024-09-30,Accounts Receivable,Outstanding,receivable,Enterprise client - FinanceHub,62000,Finance,,AR-2024-002,outstanding,38 days outstanding
2024-09-30,Accounts Receivable,Outstanding,receivable,Enterprise client - DataDriven Inc,48000,Finance,,AR-2024-003,outstanding,52 days outstanding - overdue
2024-09-30,Accounts Receivable,Outstanding,receivable,Pro clients - various,125000,Finance,,AR-2024-004,outstanding,Average 35 days outstanding
2024-09-30,Accounts Receivable,Outstanding,receivable,Starter clients - various,42000,Finance,,AR-2024-005,outstanding,Average 28 days outstanding
2024-09-30,KPI,Growth,metric,Monthly Recurring Revenue (MRR),555500,Finance,,KPI-2024-001,,September MRR
2024-09-30,KPI,Growth,metric,Annual Recurring Revenue (ARR),6666000,Finance,,KPI-2024-002,,Annualized MRR
2024-09-30,KPI,Growth,metric,YoY Revenue Growth Rate,23,Finance,,KPI-2024-003,,Percentage
2024-09-30,KPI,Growth,metric,Net Revenue Retention,112,Finance,,KPI-2024-004,,Percentage - expansion revenue
2024-09-30,KPI,Growth,metric,Customer Acquisition Rate,15,Finance,,KPI-2024-005,,New customers per month average
2024-09-30,KPI,Efficiency,metric,Customer Acquisition Cost (CAC),1200,Finance,,KPI-2024-006,,Fully loaded CAC
2024-09-30,KPI,Efficiency,metric,LTV to CAC Ratio,4.2,Finance,,KPI-2024-007,,Target > 3x
2024-09-30,KPI,Efficiency,metric,Days Sales Outstanding (DSO),45,Finance,,KPI-2024-008,,Days - target 38
2024-09-30,KPI,Efficiency,metric,Magic Number,0.85,Finance,,KPI-2024-009,,Sales efficiency
2024-09-30,KPI,Profitability,metric,Gross Margin,68.5,Finance,,KPI-2024-010,,Percentage - declining trend
2024-09-30,KPI,Profitability,metric,Net Profit Margin,15,Finance,,KPI-2024-011,,Percentage
2024-09-30,KPI,Profitability,metric,EBITDA Margin,18.2,Finance,,KPI-2024-012,,Percentage
2024-09-30,KPI,Profitability,metric,Operating Margin,16.5,Finance,,KPI-2024-013,,Percentage
2024-09-30,KPI,Retention,metric,Customer Retention Rate,94,Finance,,KPI-2024-014,,Percentage - strong
2024-09-30,KPI,Retention,metric,Logo Churn Rate,1.2,Finance,,KPI-2024-015,,Monthly percentage
2024-09-30,KPI,Retention,metric,Revenue Churn Rate,0.8,Finance,,KPI-2024-016,,Monthly percentage - low
2024-09-30,KPI,Liquidity,metric,Current Ratio,2.4,Finance,,KPI-2024-017,,Target > 2.0
2024-09-30,KPI,Liquidity,metric,Quick Ratio,2.1,Finance,,KPI-2024-018,,Excluding inventory
2024-09-30,KPI,Liquidity,metric,Cash Runway Months,14,Finance,,KPI-2024-019,,At current burn rate
2024-09-30,KPI,Leverage,metric,Debt to Equity Ratio,0.33,Finance,,KPI-2024-020,,Conservative leverage
2024-09-30,KPI,Leverage,metric,Interest Coverage Ratio,8.5,Finance,,KPI-2024-021,,Strong coverage
2024-09-30,KPI,Workforce,metric,Revenue Per Employee,93000,Finance,,KPI-2024-022,,Annual per FTE
2024-09-30,KPI,Workforce,metric,Total Employees,58,HR,,KPI-2024-023,,Full-time equivalents
2024-09-30,KPI,Workforce,metric,Engineering as Pct of Total,63.8,HR,,KPI-2024-024,,Percentage of workforce
